Name,RoutePath,FilterPath,TargetPath,Hosts,IP Restriction,SubFilters,AuthType,Entitlements,ClientName,vipAddress
sendResponseFilter,.*,null,null,null,FALSE,null,null,null,null,null
sendErrorFilter,.*,null,null,null,FALSE,null,null,null,null,null
frontendPreFilter,/.*,/.*,/,projectne.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_APP_BROKER,1pappbroker.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
frontendLabsPreFilter,/.*,/.*,/,labs.projectne.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_LABS,1pfrontendlabs.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
AuthMicroSiteNgxPreFilter,/.*,/,/,null,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_NGX,1pmicrouiloginngx.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
EntitlementPreFilter,/.*,null,null,null,FALSE,null,null,null,null,null
DecorationPreFilter,/.*,null,null,null,FALSE,null,null,null,null,null
AuthMicroSitePreFilter,/.*||/account.*,/.*,/,access-eu.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN,1pmicrouilogin.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
innovationCloudPreFilter,/5g-sep-analyzer.*||/chemistry-research.*||/examiner-search.*,/,/,null,FALSE,null,null,null,INNOVATION_CLOUD_SERVICE,null
aaaPreFilter,/aaa.*,/aaa,/,null,TRUE,null,NOVALIDATE,null,ALERTS_ADMIN,alertsadmin.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
accountUIPreFilter,/account.*,/account.*,/,apps.clarivate.com||apps.publons.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_ACCOUNT,1pmicrouiaccount.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
1palertmanagerPreFilter,/alerts.*,null,/alerts,null,FALSE,null,NOVALIDATE,null,ALERTMANAGER,1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
aaaAlertEmail,/api/_alert_email.*,null,/_alert_email,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER,1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
optionsMethodPreFilter,/api/_alert_email.*||/api/_consumer_application.*||/api/_execute.*,null,/options_method,null,FALSE,null,null,null,null,null
aaaConsumerApplication,/api/_consumer_application.*,null,/_consumer_application,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER,1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
aaaExecute,/api/_execute.*,null,/_execute,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER,1palertmanager.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
accountPreFilter,/api/account.*,null,/account,null,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
accountAuthPreFilter,/api/account/auth.*,null,/account,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
forgotpasswordPreFilter,/api/account/forgotpassword.*,/api/account/forgotpassword.*,/account,(.*)[.]clarivate.com||(.*)[.]cortellis.cn||(.*)[.]cortellis.com||(.*)[.]derwentinnovation.com||(.*)[.]myendnoteweb.com||(.*)[.]oneplatform.build||(.*)[.]publons.com||(.*)[.]thomson.com||(.*)[.]thomsonreuters.com,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
accountGenlinkAuthPreFilter,/api/account/genlink.*,null,/account/genlink,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
appreciationService,/api/appreciation.*,null,/appreciation,null,FALSE,null,AUTH,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
arcMatchingService,/api/arc/.*,null,/arc,null,FALSE,null,AUTH,null,ARCMATCHING,arcmatchingservice.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
authClientInfo,/api/auth-clientinfo.*,null,/auth-clientinfo,null,FALSE,null,NOAUTH,null,null,null
accountSettingsPreFilter,/api/auth/accountsettings,null,/auth/accountsettings,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
registerPreFilter,/api/auth/register,null,/auth/register,null,FALSE,null,NOVALIDATE,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
passwordPreFilter,/api/auth/resetpassword,null,/auth/resetpassword,null,FALSE,null,NOVALIDATE,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
wosAuthorRecommend,/api/author/.*,null,/author,null,FALSE,null,AUTH,null,WOSAUTHORRECOMMEND,wosauthorrecommend.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
authoringMediaService,/api/authoring-media.*,null,/authoring-media,null,FALSE,null,AUTH,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
authoringMediaServiceNoValidate,/api/authoring-media/[a-fA-F0-9-]+$,null,/authoring-media,null,FALSE,null,NOVALIDATE,null,AUTHORING,1pauthoring.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
oauthPreFilter,/api/authorize.*,null,/authorize,null,FALSE,null,null,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
oauthSocialMergePreFilter,/api/authorize/auth,null,/authorize,null,FALSE,null,AUTH,null,AUTH,1pauth.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ccauthorshipService,/api/authorship.*,null,/authorship,null,FALSE,null,AUTH,null,AUTHORSHIP,ccauthorshipresolution.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ccauthorshipIdsByDateRange,/api/authorship/feedback/extract/ids.*,null,/authorship/feedback/extract/ids,null,FALSE,null,NOAUTH,null,AUTHORSHIP,ccauthorshipresolution.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
ccauthorshipSingleFeedbackService,/api/authorship/feedback/extract/single.*,null,/authorship/feedback/extract/single,null,FALSE,null,NOAUTH,null,AUTHORSHIP,ccauthorshipresolution.${archaius.deployment.stack}.${archaius.deployment.subenvironment}.${archaius.deployment.environment}
