vipAddress,FilterName,Route,Path,UpstreamPath,Host,IP_Based,SubFilters,AuthType,Entitlements,ClientName
1padminui.1p.snapshot.dev,psaPreFilter,/psa.*,/psa,/,null,FALSE,null,NOVALIDATE,null,1P_ADMIN_UI
1padminuifb1.1p.snapshot.dev,psaFb1PreFilter,null,/psa,/,null,FALSE,null,NOVALIDATE,null,1P_ADMIN_UI_FB1
1palertmanager.1p.snapshot.dev,aaaExecute,/api/_execute.*,null,/_execute,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.1p.snapshot.dev,aaaConsumerApplication,/api/_consumer_application.*,null,/_consumer_application,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.1p.snapshot.dev,aaaAlertEmail,/api/_alert_email.*,null,/_alert_email,null,TRUE,CORSHeadersFilter,AUTH,null,ALERTMANAGER
1palertmanager.1p.snapshot.dev,1palertmanagerPreFilter,/alerts.*,null,/alerts,null,FALSE,null,NOVALIDATE,null,ALERTMANAGER
1pappbridge.1p.snapshot.dev,bridgeService,/api/bridge.*,null,/bridge,null,FALSE,null,AUTH,null,BRIDGECLIENT
1pappbridgetest.1p.snapshot.dev,bridgeServiceTest,null,null,/bridge,null,FALSE,null,AUTH,null,BRIDGECLIENT_TEST
1pappbroker.1p.snapshot.dev,frontendPreFilter,/.*,/.*,/,dev-snapshot.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_APP_BROKER
1pappbroker.1p.snapshot.dev,urlRedirectionPreFilter,/cmty.*,/cmty.*,/,dev-snapshot.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_APP_BROKER
1pauth.1p.snapshot.dev,oauthPreFilter,/api/authorize.*,null,/authorize,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,oauthSocialMergePreFilter,/api/authorize/auth,null,/authorize,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,oauthMergePreFilter,/api/merge.*,/api/merge,/authorize/merge,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,oauthVerifyPreFilter,/api/oauth.*,/api/oauth,/authorize/verify,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,sessionService,/api/session.*,null,/session,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.1p.snapshot.dev,registerPreFilter,/api/auth/register,null,/auth/register,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.1p.snapshot.dev,registrationPreFilter,/api/registration.*,null,/registration,null,FALSE,null,NOVALIDATE,null,AUTH
1pauth.1p.snapshot.dev,passwordPreFilter,/api/auth/resetpassword,null,/auth/resetpassword,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,healthCheckPreFilter,/api/auth/healthcheck,null,/healthcheck,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,accountSettingsPreFilter,/api/auth/accountsettings,null,/auth/accountsettings,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,sprefsPrefilter,/api/users/sprefs.*,null,/users/sprefs,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,accountPreFilter,/api/account.*,null,/account,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,accountAuthPreFilter,/api/account/auth.*,null,/account,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,ssoPreFilter,/api/sso.*,null,/sso,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,emailAuthPreFilter,/api/email.*,null,/email,null,FALSE,null,AUTH,null,AUTH
1pauth.1p.snapshot.dev,emailPreFilter,/api/email/confirm.*,null,/email,null,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,captchaAuthPreFilter,/api/util/text.*,null,/util/text,null,FALSE,null,PASSTHRU,null,AUTH
1pauth.1p.snapshot.dev,forgotpasswordPreFilter,/api/account/forgotpassword.*,/api/account/forgotpassword.*,/account,(.*)[.]clarivate.com||(.*)[.]cortellis.cn||(.*)[.]cortellis.com||(.*)[.]derwentinnovation.com||(.*)[.]myendnoteweb.com||(.*)[.]oneplatform.build||(.*)[.]publons.com||(.*)[.]thomson.com||(.*)[.]thomsonreuters.com,FALSE,null,null,null,AUTH
1pauth.1p.snapshot.dev,auditHistoryAuthPreFilter,/api/audit/history/.*,null,/audit/history,null,FALSE,null,AUTH,null,AUTH
1pauthoring.1p.snapshot.dev,commentsService,/api/comments.*,null,/comments,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,statisticsService,/api/statistics.*,null,/statistics,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,appreciationService,/api/appreciation.*,null,/appreciation,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,reportService,/api/report.*,null,/report,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,postService,/api/posts.*,null,/posts,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,draftService,/api/drafts.*,null,/drafts,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,authoringMediaService,/api/authoring-media.*,null,/authoring-media,null,FALSE,null,AUTH,null,AUTHORING
1pauthoring.1p.snapshot.dev,authoringMediaServiceNoValidate,/api/authoring-media/[a-fA-F0-9-]+$,null,/authoring-media,null,FALSE,null,NOVALIDATE,null,AUTHORING
1pauthoringsage.1p.snapshot.dev,commentsSageService,/api/comments.*,/api/comments.*,/comments,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,statisticsSageService,/api/statistics.*,/api/statistics.*,/statistics,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,appreciationSageService,/api/appreciation.*,/api/appreciation.*,/appreciation,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,reportSageService,/api/report.*,/api/report.*,/report,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,postSageService,/api/posts.*,/api/posts.*,/posts,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,draftSageService,/api/drafts.*,/api/drafts.*,/drafts,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,authoringMediaSageService,/api/authoring-media.*,null,/authoring-media,null,FALSE,null,AUTH,null,AUTHORINGSAGE
1pauthoringsage.1p.snapshot.dev,authoringMediaSageServiceNoValidate,/api/authoring-media/[a-fA-F0-9-]+$,null,/authoring-media,null,FALSE,null,NOVALIDATE,null,AUTHORINGSAGE
1pcache.1p.snapshot.dev,1pcachePreFilter,/api/cache/igr.*,/api/cache/igr,/,null,FALSE,null,NOVALIDATE,null,1PCACHE
1pchemistry.1p.snapshot.dev,1pchemistryPreFilter,/api/chemistry/igr.*,/api/chemistry/igr,/,null,FALSE,null,NOVALIDATE,null,1PCHEMISTRY
1pcitations.1p.snapshot.dev,watchlistPreListsAuth,/api/lists/watchlist.*,null,/lists/watchlist,null,FALSE,null,AUTH,null,WATCH
1pclaiming.1p.snapshot.dev,claimingService,/api/claiming.*,null,/claiming,null,FALSE,null,AUTH,null,CLAIMING
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsSearchPreFilter,/api/ca/search.*,null,/search,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsCollectPreFilter,/api/ca/collect.*,null,/collect,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsGetPreFilter,/api/ca/get.*,null,/get,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsHitlistPreFilter,/api/ca/hitlist.*,null,/hitlist,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsStrlistPreFilter,/api/ca/strlist.*,null,/strlist,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsScopePreFilter,/api/ca/scope.*,null,/scope,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalytics.1p.snapshot.dev,commonAnalyticsIdsPreFilter,/api/ca/ids.*,null,/ids,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICS
1pcommonanalyticsincites.1p.snapshot.dev,commonAnalyticsIncitesSearchPreFilter,/api/ca-incites/search.*,null,/search,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.1p.snapshot.dev,commonAnalyticsIncitesXrpcPreFilter,/api/ca-incites/xrpc.*,null,/xrpc,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.1p.snapshot.dev,commonAnalyticsIncitesCollectPreFilter,/api/ca-incites/collect.*,null,/collect,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.1p.snapshot.dev,commonAnalyticsIncitesGetPreFilter,/api/ca-incites/get.*,null,/get,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcommonanalyticsincites.1p.snapshot.dev,commonAnalyticsIncitesScopePreFilter,/api/ca-incites/scope.*,null,/scope,null,FALSE,null,NOVALIDATE,null,1PCOMMONANALYTICSINCITES
1pcontainer.1p.snapshot.dev,containerPreFilter,/api/container/v2/container.*,/api/container/v2/container,/container,null,FALSE,null,AUTH,null,CONTAINER
1pcontainer.1p.snapshot.dev,containerNoAuthPreFilter,/api/container/v3/container.*,/api/container/v3/container,/container,null,FALSE,null,NOAUTH,null,CONTAINER
1pdecorator.1p.snapshot.dev,decoratorService,/api/decorator/.*,null,/decorator,null,FALSE,null,AUTH,null,DECORATOR
1pdecorator.1p.snapshot.dev,decoratorEntService,/api/decoratorent/.*,api/decoratorent,/decorator,null,FALSE,null,AUTH,"DRA_DRUG_DESIGN||""DRA_TARGET_DRUG""",DECORATOR
1pdecoratorsage.1p.snapshot.dev,decoratorSageService,/api/decorator/.*,/api/decorator/.*,/decorator,null,FALSE,null,AUTH,null,DECORATORSAGE
1PENTITLEMENTS.1p.snapshot.dev,entitlements,/api/entitlements.*,null,/entitlements,null,FALSE,CORSHeadersFilter,AUTH,null,ENT
1pexampleservice.1p.snapshot.dev,exampleService,/api/example_service.*||/api/test8_example_service.*||/api/test9_example_service.*,/api/example_service,/,null,FALSE,eurekaTestApiHeaders,PASSTHRU,null,EXAMPLE_SERVICE
1pexampleservice.1p.snapshot.dev,ipexampleService,/api/ipexample_service.*,/api/ipexample_service,/,null,TRUE,null,NOVALIDATE,null,EXAMPLE_SERVICE
1pexampleservice.1p.snapshot.dev,authExampleService,/api/auth_example_service.*,/api/auth_example_service,/,null,FALSE,null,AUTH,null,EXAMPLE_SERVICE
1pexp.1p.snapshot.dev,experiment,/api/experiment.*,null,/experiment,null,FALSE,null,NOAUTH,null,EXP
1pexport.1p.snapshot.dev,exportPreFilter,/api/export/.*,null,/export,null,FALSE,null,NOVALIDATE,null,1PEXPORT
1pfollow.1p.snapshot.dev,followService,/api/follow.*,null,/follow,null,FALSE,null,AUTH,null,FOLLOWING
1pfrontend.1p.snapshot.dev,communityPreFilter,/cmty.*,/cmty,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND
1pfrontendfb2.1p.snapshot.dev,frontendFb2PreFilter,null,/,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB2
1pfrontendfb3.1p.snapshot.dev,frontendFb3PreFilter,/.*,/.*,/,dev-snapshot-fb3.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB3
1pfrontendfb4.1p.snapshot.dev,frontendFb4PreFilter,/.*,/.*,/,dev-snapshot-fb4.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB4
1pfrontendfb5.1p.snapshot.dev,frontendFb5PreFilter,/.*,/.*,/,dev-snapshot-fb5.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB5
1pfrontendfb6.1p.snapshot.dev,frontendFb6PreFilter,/.*,/.*,/,dev-snapshot-fb6.1p.thomsonreuters.com,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB6
1pfrontendfb6.1p.snapshot.dev,communityFb6PreFilter,null,/cmty,/,null,FALSE,null,NOVALIDATE,null,1P_FRONTEND_FB6
1pgeoduck.1p.snapshot.dev,geoDuck,/api/geoDuck.*,/api/geoDuck,/,null,FALSE,null,NOVALIDATE,null,1P_GEODUCK
1pgroups.1p.snapshot.dev,groups,/api/groups.*,null,/groups,null,FALSE,CORSHeadersFilter,NOVALIDATE,null,1P_GROUPS
1pgroups.1p.snapshot.dev,invites,/api/invites.*,null,/invites,null,FALSE,null,NOVALIDATE,null,1P_GROUPS
1pidentity.1p.snapshot.dev,credentialsPreFilter,/api/credentials.*,null,/credentials,null,FALSE,null,NOVALIDATE,null,1PIDENTITY
1plinksentitlements.1p.snapshot.dev,links-entitlements,/api/links/entitlements.*,null,/entitlements,null,TRUE,null,NOVALIDATE,null,links-entitlements
1plinksentitlementsui.1p.snapshot.dev,linksentPreFilter,/linksent.*,/linksent,/,null,TRUE,null,NOVALIDATE,null,LINKSENT_FRONTEND
1plinksgateway.1p.snapshot.dev,linksGatewayPrefilter,/api/gateway.*,null,/gateway,null,FALSE,null,NOVALIDATE,null,LINKS-GATEWAY
1pmanumatcher.1p.snapshot.dev,matcherPrefilter,/api/matcher.*,/api/matcher,/matcher,null,FALSE,null,NOVALIDATE,null,1pmanumatcher
1pmedia.1p.snapshot.dev,mediaServiceNoValidate,/api/media.*,/api/media,/media,null,FALSE,null,NOVALIDATE,null,MEDIA
1pmicrouiaccount.1p.snapshot.dev,accountUIPreFilter,/account.*,/account.*,/,apps.dev-snapshot.clarivate.com||fb1.apps.dev-snapshot.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_ACCOUNT
1pmicrouilogin.1p.snapshot.dev,AuthMicroSitePreFilter,/.*,/.*,/,iam-snapshot.dev.oneplatform.build,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN
1pmicrouiloginfb1.1p.snapshot.dev,AuthMicroSiteFb1PreFilter,/.*,/.*,/,access.dev-snapshot-fb1.clarivate.com||apps.dev-snapshot-fb2.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_FB1
1pmicrouiloginfb2.1p.snapshot.dev,AuthMicroSiteFb2LoginPreFilter,null,/,/,null,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_FB2
1pmicrouiloginngx.1p.snapshot.dev,AuthMicroSiteNgxPreFilter,/.*,/.*,/,fb1.apps.dev-snapshot.clarivate.com,FALSE,null,NOVALIDATE,null,1P_MICROUI_LOGIN_NGX
1pmodels.1p.snapshot.dev,modelsPrefilter,/api/models.*,/api/models,/,null,FALSE,null,NOVALIDATE,null,1PMODELS
1pmwsbridge.1p.snapshot.dev,mwsBridge,/api/bridge/mws/.*,null,/bridge/mws,null,FALSE,null,NOVALIDATE,null,MWSBRIDGE
1pneonui.1p.snapshot.dev,neonPreFilter,/neon.*,/neon,/,null,FALSE,null,NOVALIDATE,null,1P_NEON_UI
1pnotify.1p.snapshot.dev,notify,/api/notify/.*,null,/notify,null,FALSE,null,AUTH,null,NOTIFY
1pnotifyv2.1p.snapshot.dev,notifyv2,/api/notifyv2/.*,/api/notifyv2,/notify,null,FALSE,null,NOVALIDATE,null,NOTIFYV2
1poauth.1p.snapshot.dev,1poauthPreFilter,/api/token.*,null,/token,null,FALSE,null,null,null,OAUTH
1ppreferences.1p.snapshot.dev,preferencesService,/api/preferences.*,null,/preferences,null,FALSE,null,NOAUTH,null,PREFERENCES
1pprofile.1p.snapshot.dev,userProfileService,/api/users/user.*,null,/users/user,null,FALSE,null,AUTH,null,PROFILE
1pprofile.1p.snapshot.dev,userProfileBatchService,/api/users/list.*,null,/users/list,null,FALSE,null,NOAUTH,null,PROFILE
1pprofile.1p.snapshot.dev,userProfilev2Service,/api/v2users.*,/api/v2users,/users,null,FALSE,CORSHeadersFilter,AUTH,null,PROFILEV2
1pprofile.1p.snapshot.dev,userProfilev2NoAuthService,/api/v2users/.*/media/image||/api/v2users/user/[a-fA-F0-9-]+$,/api/v2users,/users,null,FALSE,CORSHeadersFilter,NOVALIDATE,null,PROFILEV2
1pprofiles.1p.snapshot.dev,profileAuthPreFilter,/api/profile/user.*,null,/profile/user,null,FALSE,CORSHeadersFilter,AUTH,null,PROFILES
1pprofilesearch.1p.snapshot.dev,profileSearchPreFilter,/api/profilesearch.*,/api/profilesearch,/search,null,FALSE,null,AUTH,null,PROFILESEARCH
1precommend.1p.snapshot.dev,recommendService,/api/recommend/.*,null,/recommend,null,FALSE,null,NOVALIDATE,null,RECOMMEND
1previewerlocator.1p.snapshot.dev,reviewerLocatorService,/api/reviewer/.*,null,/reviewer,null,FALSE,null,NOVALIDATE,null,REVIEWER
1psearchdsl.1p.snapshot.dev,searchDslPreFilter,/api/searchdsl/v1.*,/api/searchdsl/v1,/,null,FALSE,null,NOVALIDATE,null,1PSEARCHDSL
